# The Universal One (Walter Russell, Brieger Press, c1926) - Library of Congress gdc.27004508
# Page map: LoC IIIF image index (1-290) -> printed folio + content class.
# Produced 2026-09-11. Method + exact commands: see data/plate_audit.md (appendix) and data/pagemap_work/.
# printed_page: number as printed on the page; "none" = no folio printed on that page.
#   Full-page chart pages carry no printed folio; they are counted in the pagination sequence,
#   so their position number is given in brackets, e.g. [39] = page 39 by count, folio not printed.
#   The single tipped-in plate leaf (Contents: "Chart ... Opposite 58") is unpaginated: "none".
# content_class: text | table | plate/figure | front_matter | blank
# Image pixel dimensions per index (from IIIF info.json): data/pagemap_work/loc_info_dims.tsv
loc_index	printed_page	content_class	notes
1	none	front_matter	front cover (cloth board; LoC barcode label)
2	none	front_matter	patterned endpaper
3	none	front_matter	patterned endpaper
4	none	blank	blank flyleaf
5	none	blank	blank flyleaf
6	none	blank	blank flyleaf
7	none	front_matter	title page: THE UNIVERSAL ONE / Walter Russell
8	none	front_matter	copyright page: Copyright 1926 by Walter Russell
9	none	front_matter	dedication: To the One God, the universal One
10	none	blank	blank
11	none	front_matter	PRELUDE p.1 (unnumbered)
12	none	front_matter	PRELUDE p.2 (unnumbered)
13	none	front_matter	PRELUDE p.3 (unnumbered; ends with facsimile signature)
14	none	front_matter	CONTENTS p.1 (Book I + start Book II; lists charts by page incl. 'Opposite 58')
15	none	front_matter	CONTENTS (Continued) p.2 (Book II ch. VI-XXVIII; New Laws and Principles 255)
16	none	plate/figure	PLATE frontispiece: Russell Periodic Chart of Atomic Weights... (not listed in Contents)
17	none	front_matter	epigraph in ruled box: John i:1
18	none	blank	blank
19	1	text	BOOK I, CHAPTER I begins (folio 1); folio read by strip OCR
20	2	text	folio read by strip OCR
21	3	text	folio read by strip OCR
22	4	text	folio read by strip OCR
23	[5]	plate/figure	PLATE: reproduction of Mendeleef 1904 periodic table (listed as 'Chart' in Contents); folio not printed on chart pages, value from pagination sequence
24	6	text	folio read by strip OCR
25	7	text	folio read by strip OCR
26	8	text	folio read by strip OCR
27	[9]	plate/figure	PLATE: 'There Is' evolution/devolution fan diagram; folio not printed on chart pages, value from pagination sequence
28	10	text	folio read by strip OCR
29	[11]	plate/figure	PLATE: 'The Law' cosmic pendulum spiral; folio not printed on chart pages, value from pagination sequence
30	12	text	folio read by strip OCR
