octave	position	russell_name	russell_symbol	russell_mass	russell_mp	modern_symbol	modern_name	classification	mass_delta_abs	mass_delta_pct	mp_delta_c	note
1	100=	Alphanon	An.					nonexistent				invented name, no real element
1	101+	Irenon	Io					nonexistent				invented name, no real element
1	102+	Vijaon	Vj					nonexistent				invented name, no real element
1	103+	Marvaon	Mv					nonexistent				invented name, no real element
1	104‡	TOMION	Tn					nonexistent				invented name, no real element
1	103−	Alberton	At.					nonexistent				invented name, no real element
1	102−	Blackton	Bn.					nonexistent				invented name, no real element
1	101−	Boston	Bt.					nonexistent				invented name, no real element
2	200=	Betanon	Bo.					nonexistent				invented name, no real element
2	201+	Jamearnon	Jn.					nonexistent				invented name, no real element
2	202+	Erneston	En.					nonexistent				invented name, no real element
2	203+	Eykaon	Ek.					nonexistent				invented name, no real element
2	204‡	ATHENON	Ae.					nonexistent				invented name, no real element
2	203−	Barnardon	Bd.					nonexistent				invented name, no real element
2	202−	Delphanon	Dn.					nonexistent				invented name, no real element
2	201−	Romanon	Rn.					nonexistent				invented name, no real element
3	300=	Gammanon	Gn.					nonexistent				invented name, no real element
3	301+	Marconium	Mc					nonexistent				invented name, no real element
3	302+	Penrynium	Pn					nonexistent				invented name, no real element
3	303+	Vinton	Vn					nonexistent				invented name, no real element
3	304‡	QUENTIN	Qn					nonexistent				invented name, no real element
3	303−	Tracion	Tc					nonexistent				invented name, no real element
3	302−	Buzzeon	Bz					nonexistent				invented name, no real element
3	301−	Helenon	Hl					nonexistent				invented name, no real element
4	400=	Hydron	Hy					nonexistent				invented name, no real element
4	401+	Hydrogen	H	1.008	−259	H	hydrogen	matched	+0.000	+0.00	+0.2	position test n/a: octave anchored on invented inert tone
4	402+	Ethlogen	Eg					nonexistent				invented name, no real element
4	403+	Bebegen	Bb					nonexistent				invented name, no real element
4	404‡	CARBOGEN	Cb					nonexistent				invented name, no real element
4	403−	Luminon	Ln	*2.92				nonexistent				invented name, no real element; only invented tone printed with a mass value (*2.92, footnote *Approximate; C020)
4	402−	Halanon	Ha					nonexistent				invented name, no real element
4	401−	Helionon	Hi					nonexistent				invented name, no real element
5	500=	Helium	He.	4.0	−271	He	helium	matched	-0.003	-0.06		no modern normal melting point exists (No melting point at 101.325 kPa: helium does not solidify at any temperature at atmospheric pressure (solidifies only above ~2.5 MPa))
5	501+	Lithium	Li	7.03	186	Li	lithium	matched	+0.090	+1.30	+5.5	
5	502+	Beryllium	Be	9.1	1280	Be	beryllium	matched	+0.088	+0.97	-7.0	
5	503+	Boron	B	11.0	2350	B	boron	matched	+0.190	+1.76	+273.0	
5	504‡	CARBON	C	12.0	3600	C	carbon	matched	-0.011	-0.09		no modern normal melting point exists (No liquid phase at 101.325 kPa: graphite sublimes at 3825 °C (sp, CRC); the solid–liquid–gas triple point is 4489 °C at 10.3 MPa (CRC))
5	503−	Nitrogen	N	14.04	−210	N	nitrogen	matched	+0.033	+0.24	+0.0	
5	502−	Oxygen	O	16.00	−218	O	oxygen	matched	+0.001	+0.01	+0.8	
5	501−	Fluorine	F	19.0	−223	F	fluorine	matched	+0.002	+0.01	-3.3	
6	600=	Neon	Ne	19.9	−253	Ne	neon	matched	-0.280	-1.39	-4.4	
6	601+	Sodium	Na	23.05	98	Na	sodium	matched	+0.060	+0.26	+0.2	
6	602+	Magnesium	Mg	24.1	651	Mg	magnesium	matched	-0.205	-0.84	+1.0	
6	603+	Aluminum	Al	27.0	659	Al	aluminium	matched	+0.018	+0.07	-1.3	accepted variant spelling of aluminium
6	604‡	SILICON	Si	28.4	1420	Si	silicon	matched	+0.315	+1.12	+6.0	
6	603−	Phosphorus	P	31.4	725	P	phosphorus	matched	+0.426	+1.38	+680.9	modern mp caveat: White phosphorus (CRC also lists red P, tm 579.2 °C at elevated pressure/triple point).
6	602−	Sulphur	S	32.06	119	S	sulfur	matched	+0.000	+0.00	+3.8	joined by printed symbol S, corroborated by slot claim Z=16 and printed mass 32.06; accepted variant spelling of sulfur
6	601−	Chlorine	Cl	35.45	−102	Cl	chlorine	matched	+0.000	+0.00	-0.5	
7	700=	Argon	Ar	39.09	−188	Ar	argon	matched	-0.860	-2.15	+1.3	
7	701+	Potassium	K	39.10	62.3	K	potassium	matched	+0.002	+0.01	-1.2	
7	702+	Calcium	Ca	40.1	810	Ca	calcium	matched	+0.022	+0.05	-32.0	
7	703+	Scandium	Sc	44.1		Sc	scandium	matched	-0.856	-1.90		
