octave	page_printed	position_col	position	sigil	name	typography	symbol	atomic_mass	melting_point_c	status	loc	usp	chart	variants
1	92	0=	100	=	Alphanon	italic	An.			agreed	0= | Alphanon | italic | 100= | An. |  | 	0= | Alphanon | italic | 100= | An. |  | 	ALPHANON	
1	92	1+	101	+	Irenon	roman	Io			agreed	1+ | Irenon | roman | 101+ | Io |  | 	1+ | Irenon | roman | 101+ | Io |  | 	IRENON	
1	92	2+	102	+	Vijaon	roman	Vj			agreed	2+ | Vijaon | roman | 102+ | Vj |  | 	2+ | Vijaon | roman | 102+ | Vj |  | 	VIJAON	
1	92	3+	103	+	Marvaon	roman	Mv			agreed	3+ | Marvaon | roman | 103+ | Mv |  | 	3+ | Marvaon | roman | 103+ | Mv |  | 	MARVAON	
1	92	4‡	104	‡	TOMION	caps	Tn			agreed	4‡ | TOMION | caps | 104‡ | Tn |  | 	4‡ | TOMION | caps | 104‡ | Tn |  | 	TOMION	
1	92	3−	103	−	Alberton	roman	At.			resolved	3− | Alberton | roman | 103− | At. |  | 	3− | Alberton | roman | 103− | [uncertain:At.|At:] |  | 	ALBERTON	
1	92	2−	102	−	Blackton	roman	Bn.			agreed	2− | Blackton | roman | 102− | Bn. |  | 	2− | Blackton | roman | 102− | Bn. |  | 	BLACTON	
1	92	1−	101	−	Boston	roman	Bt.			agreed	1− | Boston | roman | 101− | Bt. |  | 	1− | Boston | roman | 101− | Bt. |  | 	BOSTON	
2	92	0=	200	=	Betanon	italic	Bo.			agreed	0= | Betanon | italic | 200= | Bo. |  | 	0= | Betanon | italic | 200= | Bo. |  | 	BETANON	
2	92	1+	201	+	Jamearnon	roman	Jn.			agreed	1+ | Jamearnon | roman | 201+ | Jn. |  | 	1+ | Jamearnon | roman | 201+ | Jn. |  | 	JAMEARNON	
2	92	2+	202	+	Erneston	roman	En.			agreed	2+ | Erneston | roman | 202+ | En. |  | 	2+ | Erneston | roman | 202+ | En. |  | 	ERNESTON	
2	92	3+	203	+	Eykaon	roman	Ek.			agreed	3+ | Eykaon | roman | 203+ | Ek. |  | 	3+ | Eykaon | roman | 203+ | Ek. |  | 	EYKAON	
2	92	4‡	204	‡	ATHENON	smallcaps	Ae.			agreed	4‡ | ATHENON | smallcaps | 204‡ | Ae. |  | 	4‡ | ATHENON | smallcaps | 204‡ | Ae. |  | 	ATHENON	
2	92	3−	203	−	Barnardon	roman	Bd.			agreed	3− | Barnardon | roman | 203− | Bd. |  | 	3− | Barnardon | roman | 203− | Bd. |  | 	BARNARDON	
2	92	2−	202	−	Delphanon	roman	Dn.			agreed	2− | Delphanon | roman | 202− | Dn. |  | 	2− | Delphanon | roman | 202− | Dn. |  | 	DELPHANON	
2	92	1−	201	−	Romanon	roman	Rn.			agreed	1− | Romanon | roman | 201− | Rn. |  | 	1− | Romanon | roman | 201− | Rn. |  | 	ROMANON	
3	92	0=	300	=	Gammanon	italic	Gn.			agreed	0= | Gammanon | italic | 300= | Gn. |  | 	0= | Gammanon | italic | 300= | Gn. |  | 	GAMMANON	
3	92	1+	301	+	Marconium	roman	Mc			agreed	1+ | Marconium | roman | 301+ | Mc |  | 	1+ | Marconium | roman | 301+ | Mc |  | 	MARCONIUM	
3	92	2+	302	+	Penrynium	roman	Pn			agreed	2+ | Penrynium | roman | 302+ | Pn |  | 	2+ | Penrynium | roman | 302+ | Pn |  | 	PENRYNIUM	
3	92	3+	303	+	Vinton	roman	Vn			agreed	3+ | Vinton | roman | 303+ | Vn |  | 	3+ | Vinton | roman | 303+ | Vn |  | 	VINTON	
3	92	4‡	304	‡	QUENTIN	smallcaps	Qn			agreed	4‡ | QUENTIN | smallcaps | 304‡ | Qn |  | 	4‡ | QUENTIN | smallcaps | 304‡ | Qn |  | 	QUENTIN	
3	92	3−	303	−	Tracion	roman	Tc			agreed	3− | Tracion | roman | 303− | Tc |  | 	3− | Tracion | roman | 303− | Tc |  | 	TRACION	
3	92	2−	302	−	Buzzeon	roman	Bz			agreed	2− | Buzzeon | roman | 302− | Bz |  | 	2− | Buzzeon | roman | 302− | Bz |  | 	BUZZEON	
3	92	1−	301	−	Helenon	roman	Hl			agreed	1− | Helenon | roman | 301− | Hl |  | 	1− | Helenon | roman | 301− | Hl |  | 	HELENINE	
4	94	0=	400	=	Hydron	italic	Hy			agreed	0= | Hydron | italic | 400= | Hy |  | 	0= | Hydron | italic | 400= | Hy |  | 	HYDRON	
4	94	1+	401	+	Hydrogen	roman	H	1.008	−259	agreed	1+ | Hydrogen | roman | 401+ | H | 1.008 | −259	1+ | Hydrogen | roman | 401+ | H | 1.008 | −259	HYDROGEN	
4	94	2+	402	+	Ethlogen	roman	Eg			agreed	2+ | Ethlogen | roman | 402+ | Eg |  | 	2+ | Ethlogen | roman | 402+ | Eg |  | 	ETHLOGEN	
4	94	3+	403	+	Bebegen	roman	Bb			agreed	3+ | Bebegen | roman | 403+ | Bb |  | 	3+ | Bebegen | roman | 403+ | Bb |  | 	BEBEGEN	
4	94	4‡	404	‡	CARBOGEN	smallcaps	Cb			agreed	4‡ | CARBOGEN | smallcaps | 404‡ | Cb |  | 	4‡ | CARBOGEN | smallcaps | 404‡ | Cb |  | 	CARBOGEN	
4	94	3−	403	−	Luminon	roman	Ln	*2.92		agreed	3− | Luminon | roman | 403− | Ln | *2.92 | 	3− | Luminon | roman | 403− | Ln | *2.92 | 	LUMINON	
4	94	2−	402	−	Halanon	roman	Ha			agreed	2− | Halanon | roman | 402− | Ha |  | 	2− | Halanon | roman | 402− | Ha |  | 	HALANON	
4	94	1−	401	−	Helionon	roman	Hi			agreed	1− | Helionon | roman | 401− | Hi |  | 	1− | Helionon | roman | 401− | Hi |  | 	HELIONON	
5	94	0=	500	=	Helium	italic	He.	4.0	−271	resolved	0= | Helium | italic | 500= | He. | 4.0 | −271	0= | Helium | italic | 500= | He. | 4.0 | —271	HELIUM	
5	94	1+	501	+	Lithium	roman	Li	7.03	186	agreed	1+ | Lithium | roman | 501+ | Li | 7.03 | 186	1+ | Lithium | roman | 501+ | Li | 7.03 | 186	LITHIUM	
5	94	2+	502	+	Beryllium	roman	Be	9.1	1280	agreed	2+ | Beryllium | roman | 502+ | Be | 9.1 | 1280	2+ | Beryllium | roman | 502+ | Be | 9.1 | 1280	BERYLIUM	
5	94	3+	503	+	Boron	roman	B	11.0	2350	agreed	3+ | Boron | roman | 503+ | B | 11.0 | 2350	3+ | Boron | roman | 503+ | B | 11.0 | 2350	BORON	
5	94	4‡	504	‡	CARBON	caps	C	12.0	3600	agreed	4‡ | CARBON | caps | 504‡ | C | 12.0 | 3600	4‡ | CARBON | caps | 504‡ | C | 12.0 | 3600	CARBON	
5	94	3−	503	−	Nitrogen	roman	N	14.04	−210	agreed	3− | Nitrogen | roman | 503− | N | 14.04 | −210	3− | Nitrogen | roman | 503− | N | 14.04 | −210	NITROGEN	
